"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"2687",16,"745","",3,"","",""
"2686",16,"740","",3,"","",""
"2685",16,"730","",3,"","",""
"2684",16,"671","",3,"","",""
"2683",16,"670","",3,"","",""
"2682",16,"662","",3,"","",""
"2681",16,"661","",3,"","",""
"2680",16,"660","",3,"","",""
"2679",16,"653","",3,"","",""
"2678",16,"651","",3,"","",""
"2675",16,"640","",3,"","",""
"2673",16,"613","",3,"","",""
"2672",16,"610","",3,"","",""
"2671",16,"600","",3,"","",""
"1888",16,"612","",3,"","",""
"1887",16,"611","",3,"","",""
"1886",16,"821","",3,"","",""
"1885",16,"822","",3,"","",""
"1882",16,"823","",3,"","",""
"1880",16,"830","",3,"","",""
"1879",16,"804","",3,"","",""
"1877",16,"803","",3,"","",""
"1876",16,"801","",3,"","",""
"1875",16,"630","",3,"","",""
"1874",16,"881","",3,"","",""
"1870",16,"621","",3,"","",""
"1868",16,"802","",3,"","",""
"1867",16,"620","",3,"","",""
"1865",16,"902","",3,"","",""
"1863",16,"901","",3,"","",""
"1859",16,"810","",3,"","",""
"1854",16,"814","",3,"","",""
"1851",16,"601","",3,"","",""
"1731",16,"15","",3,"","",""
"989",16,"9","",3,"","",""
"988",16,"8","",3,"","",""
"987",16,"7","",3,"","",""
"986",16,"6","",3,"","",""
"985",16,"5","",3,"","",""
"984",16,"4","",3,"","",""
"983",16,"3","",3,"","",""
"982",16,"2","",3,"","",""
"981",16,"1","",3,"","",""
"322",16,"17","",3,"","",""
"321",16,"14","",3,"","",""
"320",16,"13","",3,"","",""
"319",16,"12","",3,"","",""
"317",16,"10","",3,"","",""
