id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
2415,EGFF,large_airport,Cardiff International Airport,51396702.0,-334333.0,220.0,EU,GB,GB-WLS,Cardiff,yes,EGFF,CWL,EGFF,,http://www.cwlfly.com/,https://en.wikipedia.org/wiki/Cardiff_Airport,"Caerdydd, Cardiff International Airport, Maes Awyr Caerdydd, Rhoose, Y Rhws"
2417,EGGD,medium_airport,Bristol Airport,51382326.0,-2716453.0,622.0,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,EGGD,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_Airport,Lulsgate Bottom
2418,EGGP,large_airport,Liverpool John Lennon Airport,53334863.0,-2849637.0,80.0,EU,GB,GB-ENG,Liverpool,yes,EGGP,LPL,EGGP,,http://www.liverpoolairport.com/,https://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,
2419,EGGW,large_airport,London Luton Airport,51874699.0,-368333.0,526.0,EU,GB,GB-ENG,"Luton, Bedfordshire",yes,EGGW,LTN,EGGW,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/Luton_Airport,LON
29139,EGHC,small_airport,Land's End Airport,50102798.0,-567056.0,398.0,EU,GB,GB-ENG,"Land's End, Cornwall",yes,EGHC,LEQ,EGHC,,http://www.landsendairport.co.uk/,https://en.wikipedia.org/wiki/Land%27s_End_Airport,St. Just Airport
29140,EGHE,small_airport,St. Mary's Airport,49913375.0,-6291894.0,116.0,EU,GB,GB-ENG,"St. Mary's, Isles of Scilly",yes,EGHE,ISC,EGHE,,http://www.scilly.gov.uk/transport/airandsea/airport/,https://en.wikipedia.org/wiki/St._Mary%27s_Airport_%28Isles_of_Scilly%29,
2421,EGHH,medium_airport,Bournemouth Airport,50780483.0,-1839576.0,38.0,EU,GB,GB-ENG,Bournemouth,yes,EGHH,BOH,EGHH,,http://www.bournemouthairport.com/,https://en.wikipedia.org/wiki/Bournemouth_Airport,RAF Hurn
2422,EGHI,medium_airport,Southampton Airport,50950298.0,-13568.0,44.0,EU,GB,GB-ENG,Southampton,yes,EGHI,SOU,EGHI,,http://www.southamptonairport.com/,https://en.wikipedia.org/wiki/Southampton_Airport,"RAF Eastleigh, RAF Southampton"
2404,EGHQ,medium_airport,Cornwall Airport Newquay,50440601.0,-499541.0,390.0,EU,GB,GB-ENG,Newquay,yes,EGHQ,NQY,EGHQ,,https://www.cornwallairportnewquay.com/,https://en.wikipedia.org/wiki/Newquay_Airport,"St Mawgan, EGDG"
2424,EGJA,medium_airport,Alderney Airport,49706104.0,-221472.0,290.0,EU,GG,GG-A,Saint Anne,yes,EGJA,ACI,EGJA,,,https://en.wikipedia.org/wiki/Alderney_Airport,"The Blaye, Channel Islands"
2425,EGJB,medium_airport,Guernsey Airport,49435001.0,-260197.0,336.0,EU,GG,GG-G,Saint Peter Port,yes,EGJB,GCI,EGJB,,,https://en.wikipedia.org/wiki/Guernsey_Airport,Channel Islands
2426,EGJJ,medium_airport,Jersey Airport,49207901.0,-219551.0,277.0,EU,JE,JE-U-A,St. Peter,yes,EGJJ,JER,EGJJ,,http://www.jerseyairport.com/,https://en.wikipedia.org/wiki/Jersey_Airport,Channel Islands
2429,EGKK,large_airport,London Gatwick Airport,51148771.0,-192089.0,202.0,EU,GB,GB-ENG,London,yes,EGKK,LGW,EGKK,,http://www.gatwickairport.com/,https://en.wikipedia.org/wiki/Gatwick_Airport,"LON, Crawley, Charlwood"
2430,EGLC,medium_airport,London City Airport,51505299.0,55278.0,19.0,EU,GB,GB-ENG,London,yes,EGLC,LCY,EGLC,,http://www.londoncityairport.com/,https://en.wikipedia.org/wiki/London_City_Airport,LON
2434,EGLL,large_airport,London Heathrow Airport,514706.0,-461941.0,83.0,EU,GB,GB-ENG,London,yes,EGLL,LHR,EGLL,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres"
2435,EGMC,medium_airport,London Southend Airport,51570562.0,693627.0,49.0,EU,GB,GB-ENG,"Southend-on-Sea, Essex",yes,EGMC,SEN,EGMC,,http://www.southendairport.com/,https://en.wikipedia.org/wiki/London_Southend_Airport,RAF Rochford
2442,EGNJ,medium_airport,Humberside Airport,53576152.0,-34954.0,121.0,EU,GB,GB-ENG,"Grimsby, Lincolnshire",yes,EGNJ,HUY,EGNJ,,http://www.humbersideairport.com/,https://en.wikipedia.org/wiki/Humberside_Airport,RAF Kirmington
2444,EGNM,large_airport,Leeds Bradford Airport,53865898.0,-166057.0,681.0,EU,GB,GB-ENG,"Leeds, West Yorkshire",yes,EGNM,LBA,EGNM,,http://www.lbia.co.uk/,https://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,
2447,EGNS,large_airport,Isle of Man Airport,54083081.0,-4623871.0,52.0,EU,IM,IM-U-A,Castletown,yes,EGNS,IOM,EGNS,,http://www.iom-airport.com/,https://en.wikipedia.org/wiki/Isle_of_Man_Airport,"Ronaldsway, Douglas"
2448,EGNT,large_airport,Newcastle International Airport,55037958.0,-1689577.0,266.0,EU,GB,GB-ENG,"Newcastle upon Tyne, Tyne and Wear",yes,EGNT,NCL,EGNT,,http://www.newcastleairport.com/,https://en.wikipedia.org/wiki/Newcastle_International_Airport,
2449,EGNV,medium_airport,Teesside International Airport,54509201.0,-142941.0,120.0,EU,GB,GB-ENG,"Darlington, Durham",yes,EGNV,MME,EGNV,,https://www.teessideinternational.com/,https://en.wikipedia.org/wiki/Teesside_International_Airport,"Durham Tees Valley Airport, RAF Middleton St George, Tees-Side"
2450,EGNX,medium_airport,East Midlands Airport,528311.0,-132806.0,306.0,EU,GB,GB-ENG,Nottingham,yes,EGNX,EMA,EGNX,,http://www.eastmidlandsairport.com/,https://en.wikipedia.org/wiki/East_Midlands_Airport,RAF Castle Donington
2456,EGPA,medium_airport,Kirkwall Airport,58957903.0,-2905077.0,50.0,EU,GB,GB-SCT,"Kirkwall, Orkney Islands",yes,EGPA,KOI,EGPA,,,https://en.wikipedia.org/wiki/Kirkwall_Airport,"RNAS Grimsetter, HMS Robin"
2457,EGPB,medium_airport,Sumburgh Airport,59878899.0,-129556.0,20.0,EU,GB,GB-SCT,"Lerwick, Shetland",yes,EGPB,LSI,EGPB,,http://www.hial.co.uk/sumburgh-airport.html,https://en.wikipedia.org/wiki/Sumburgh_Airport,Shetlands
2458,EGPC,medium_airport,Wick John O'Groats Airport,584589.0,-309306.0,126.0,EU,GB,GB-SCT,Wick,yes,EGPC,WIC,EGPC,,http://www.hial.co.uk/wick-airport.html,https://en.wikipedia.org/wiki/Wick_Airport,
2459,EGPD,medium_airport,Aberdeen International Airport,572019.0,-219778.0,215.0,EU,GB,GB-SCT,Aberdeen,yes,EGPD,ABZ,EGPD,,http://www.aberdeenairport.com/,https://en.wikipedia.org/wiki/Aberdeen_Airport,Dyce
2460,EGPE,medium_airport,Inverness Airport,575425.0,-40475.0,31.0,EU,GB,GB-SCT,Inverness,yes,EGPE,INV,EGPE,,http://www.hial.co.uk/inverness-airport.html,https://en.wikipedia.org/wiki/Inverness_Airport,
